indicator_id,sector,indicator_desc,variable,tooltip,Returnees,Out_Camp,In_Camp
g54_iii,Access and safety,Movement restrictions unrelated to COVID-19 - time,% of households experiencing daytime movement restrictions unrelated to COVID-19 - time restrictions on when to leave and return,of households experiencing daytime <br>movement restrictions unrelated to COVID-19<br> - specific time,1,1,1
g54_v,Access and safety,Movement restrictions unrelated to COVID-19 - specific reason,"% of households experiencing daytime movement restrictions unrelated to COVID-19 - needing to provide a specific reason for movement (employment, medical, school)",of households experiencing daytime <br>movement restrictions unrelated to COVID-19<br> - specific reason,1,1,1
g54_vi,Access and safety,Movement restrictions unrelated to COVID-19 - road blocks,% of households experiencing daytime movement restrictions unrelated to COVID-19 - physical road blocks,of households experiencing daytime <br>movement restrictions unrelated to COVID-19<br> - physical road blocks,1,1,1
c9,Protection - general,Access constraints for people with disabilities,"% households with members unable to access one or more basic services (e.g. education, health services, markets) due to disability","of households reporting members <br>unable to access one or more basic services (e.g. education, health services, markets)<br> due to disability",1,1,1
g61,Protection - general,Security incidents,% of households that have suffered incidents affecting households members in the last 30 days,of households reporting suffering<br> incidents affecting households members <br>in the last 30 days,1,1,1
g62_i,Protection - GBV ,Security incidents affecting male members,% of households that have suffered safety or security incidents affecting male household members in the last 30 days,of households reporting suffering<br> safety or security incidents affecting male<br> household members in the last 30 days,1,1,1
g62_ii,Protection - GBV ,Security incidents affecting female members,% of households that have suffered safety or security incidents affecting female household members in the last 30 days,of households reporting suffering<br> safety or security incidents affecting female<br> household members in the last 30 days,1,1,1
g63,Protection - GBV ,Women/girls avoiding areas,% of households where women and girls who avoid areas because they feel unsafe there,of households where women and girls who avoid areas because they feel unsafe there,1,1,1
g51,Protection - general,Missing documents,% households missing at least one key household or individual document ,of households reporting missing <br>at least one key household or individual <br>document ,1,1,1
g51b,Protection - child protection,Missing documents - child,% of households with at least one child missing a key individual document,of households with at least<br> one child missing a key individual<br> document,1,1,1
a12,Household Profile,Child marriage,% of households with presence of child marriage,of households reporting<br> presence of child marriage,1,1,1
a12,Protection - child protection,Child marriage,% of households with presence of child marriage,of households reporting<br> presence of child marriage,1,1,1
a12,Protection - GBV ,Child marriage,% of households with presence of child marriage,of households reporting<br> presence of child marriage,1,1,1
g53a,Protection - child protection,Child not residing in household,% of households with at least one child under 18 currently not residing in the households,of households reporting at least <br>one child under 18 currently not residing<br> in the households,1,1,1
g53b_i,Protection - child protection,Child not residing in household - married,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Married and left the house",of households with children under 18<br> currently not residing in the household<br> due to marriage,1,1,1
g53b_ii,Protection - child protection,Child not residing in household - employment,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Left the house to seek employment",of households reporting children under 18<br> currently not residing in the household<br> due to employment,1,1,1
g53b_iii,Protection - child protection,Child not residing in household - study,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Left the house to study",of households reporting children under 18<br> currently not residing in the household<br> due to study,1,1,1
g53b_iv,Protection - child protection,Child not residing in household - staying with relatives,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Staying with relatives or friends",of households reporting children under 18<br> currently not residing in the household<br> due to staying with relatives,1,1,1
g53b_v,Protection - child protection,Child not residing in household - armed group,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Left the house to engage with the army or armed groups",of households reporting children under 18<br> currently not residing in the household<br> due to engagement with armed group,1,1,1
g53b_vi,Protection - child protection,Child not residing in household - kidnapped,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Kidnapped/abducted",of households reporting children under 18<br> currently not residing in the household<br> due to kidnapping,1,1,1
g53b_vii,Protection - child protection,Child not residing in household - missing,"% of households with children under 18 currently not residing in the households, by protection incident (as a percentage of households reporting at least one child not residing in the households) - Missing (left and no news)",of households reporting children under 18<br> currently not residing in the household<br> due to child missing,1,1,1
g52,Protection - child protection,Violent disciplinary measures,% of households using violent disciplinary measures against their children,of households using violent disciplinary<br> measures against their children,1,1,1
a28,Intentions,Intentions to remain (12 months),% of returnee households that intend to remain in their current location for the next twelve months,of returnee households intend to<br> remain in their current location for <br>the next twelve months,1,0,0
g74,Protection - mine action,Explosive ordnance education,"% of households where at least one member has received any information, education or training about the risk of explosive ordnance","of households reporting at least one member <br>receiving any information, education or <br>training about the risk of explosive ordnance",1,1,1
f7,Durable solutions,Property compensation,% of households who have received property compensation,of households reporting receiving<br> property compensation,1,1,1
f7,Protection - HLP,Property compensation,% of households who have received property compensation,of households reporting receiving<br> property compensation,1,1,1
f7b,Durable solutions,Access/knowledge of complaint mechanisms,% households with access/knowledge of complaint mechanisms (as a percentage of households that reported having received aid in the past 30 days),of households reporting access/knowledge<br> of complaint mechanisms,1,1,1
f7b,Protection - HLP,Access/knowledge of complaint mechanisms,% households with access/knowledge of complaint mechanisms (as a percentage of households that reported having received aid in the past 30 days),of households reporting access/knowledge<br> of complaint mechanisms,1,1,1
d1_ii,Accountability to affected people (AAP),Info need - safety,Topical information needs  - Safety and security,of households reporting need for <br> safety and security information,1,1,1
d1_iii,Accountability to affected people (AAP),Info need - housing,Topical information needs  - Status of housing,of households reporting need for <br> housing information,1,1,1
d1_iv,Accountability to affected people (AAP),Info need - livelihoods,Topical information needs  - Livelihoods,of households reporting need for <br> livelihoods information,1,1,1
d1_v,Accountability to affected people (AAP),Info need - water services,Topical information needs  - Water services,of households reporting need for <br> water services information,1,1,1
d1_vi,Accountability to affected people (AAP),Info need - electricity services,Topical information needs  - Electricity services,of households reporting need for <br> electricity services information,1,1,1
d1_vii,Accountability to affected people (AAP),Info need - education,Topical information needs  - Education,of households reporting need for <br> education information,1,1,1
d1_viii,Accountability to affected people (AAP),Info need - healthcare,Topical information needs  - Healthcare,of households reporting need for <br> healthcare information,1,1,1
d1_i,Accountability to affected people (AAP),Info need - aid,Topical information needs  - Humanitarian assistance,of households reporting need for <br> humanitarian assistance information,1,1,1
d1_ix,Accountability to affected people (AAP),Info need - legal services,Topical information needs  - Legal services,of households reporting need for <br> legal services information,1,1,1
d1_x,Accountability to affected people (AAP),Info need - HLP services,"Topical information needs  - House, land and property services",of households reporting need for <br> land and property services information,1,1,1
d1_xi,Accountability to affected people (AAP),Info need - explosive hazards,"Topical information needs  - Explosive hazards clearance (mines, bombs, IEDs)",of households reporting need for <br> explosive hazards information,1,1,1
d1_xii,Accountability to affected people (AAP),Info need - civil documentation,Topical information needs  - Renewing official documentation,of households reporting need for <br> official documentation renewal information,1,1,1
d1_xiii,Accountability to affected people (AAP),Info need - no need,Topical information needs  - I do not want to receive information,of households reporting no need for <br> receiving information,1,1,1
d2_ii,Accountability to affected people (AAP),IDP info source - community living in area of origin,IDPs preferred information source - Friends and family living in the area of origin,of IDP households reporting friends and<br>family in area of origin as preferred<br>information source,0,1,1
d2_iii,Accountability to affected people (AAP),IDP info source - community visited area of origin,IDPs preferred information source - Friends and family that visited the area of origin in the past 30 days,of IDP households reporting friends and<br>family recently visiting area of origin as<br> preferred information source,0,1,1
d2_iv,Accountability to affected people (AAP),IDP info source - community not in area of origin,IDPs preferred information source - Friends and family that have not been in the area of origin,of IDP households reporting friends and<br>family not in area of origin as preferred<br>information source,0,1,1
d2_v,Accountability to affected people (AAP),IDP info source - local authorities,IDPs preferred information source - Local authorities,of IDP households reporting local<br>authorities as preferred information<br> source,0,1,1
d2_vi,Accountability to affected people (AAP),IDP info source - national authorities,IDPs preferred information source - National authorities,of IDP households reporting national<br>authorities as preferred information<br> source,0,1,1
d2_i,Accountability to affected people (AAP),IDP info source - aid actors,IDPs preferred information source - NGOs and humanitarian actors,of IDP households reporting NGOs and<br>and humanitarian actors as preferred<br>information source,0,1,1
d2_vii,Accountability to affected people (AAP),IDP info source - religious leaders,IDPs preferred information source - Religious leaders,of IDP households reporting religious<br>leaders as preferred information source,0,1,1
d2_viii,Accountability to affected people (AAP),IDP info source - mukthars,IDPs preferred information source - Mukhtars,of IDP households reporting mukhtars<br> as preferred information source,0,1,1
d2_ix,Accountability to affected people (AAP),IDP info source - sector leader,IDPs preferred information source - Camp sector leaders,of IDP households reporting camp<br>sector leaders as preferred information<br> source,0,1,1
d2_x,Accountability to affected people (AAP),IDP info source - school and centres,IDPs preferred information source - Schools and community centres,of IDP households reporting schools and<br>community centres as preferred<br>information source,0,1,1
d8_i,Accountability to affected people (AAP),Returnee info source - friends,Returnees preferred information source - Friends,of returnee households reporting friends <br>as preferred information source,1,0,0
d8_ii,Accountability to affected people (AAP),Returnee info source - local authorities,Returnees preferred information source - Local Authorities,of returnee households reporting local <br>authorities as preferred information source,1,0,0
d8_iii,Accountability to affected people (AAP),Returnee info source - mukhtars,Returnees preferred information source - Mukhtars,of returnee households reporting mukhtars <br>as preferred information source,1,0,0
d8_iv,Accountability to affected people (AAP),Returnee info source - national authorities,Returnees preferred information source - National Authorities,of returnee households reporting national <br>authorities as preferred information source,1,0,0
d8_v,Accountability to affected people (AAP),Returnee info source - aid actors,Returnees preferred information source - NGO&humanitarian actors,of returnee households reporting NGOs and <br>humanitarian actors as preferred information<br> source,1,0,0
d8_vi,Accountability to affected people (AAP),Returnee info source - religious leaders,Returnees preferred information source - Religious leaders,of returnee households reporting religious <br>leaders as preferred information source,1,0,0
d8_vii,Accountability to affected people (AAP),Returnee info source - schools and centres,Returnees preferred information source - Schools and community centres,of returnee households reporting schools and <br>community centres as preferred information<br> source,1,0,0
d8_viii,Accountability to affected people (AAP),Returnee info source - sector leaders,Returnees preferred information source - Sector leaders,of returnee households reporting sector <br>leaders as preferred information source,1,0,0
d3_ii,Accountability to affected people (AAP),Info means - observation,Preferred means of information - Direct observation,of households reporting direct <br>observation as preferred means<br> of information ,1,1,1
d3_iii,Accountability to affected people (AAP),Info means - face to face,Preferred means of information - Face-to-face communication (e.g. from friends),of households reporting face-to-face <br>communication as preferred means<br> of information ,1,1,1
d3_iv,Accountability to affected people (AAP),Info means - Tv,Preferred means of information - Television,of households reporting television <br> as preferred means of information ,1,1,1
d3_v,Accountability to affected people (AAP),Info means - Phone (voice),Preferred means of information - Telephone/mobile phone (Voice call),of households reporting voice calls <br> as preferred means of information ,1,1,1
d3_i,Accountability to affected people (AAP),Info means - Phone (sms),Preferred means of information - Mobile phone (text SMS),of households reporting SMS messages <br> as preferred means of information ,1,1,1
d3_vi,Accountability to affected people (AAP),Info means - facebook (app),Preferred means of information - Facebook (app),of households reporting facebook <br>app as preferred means of information ,1,1,1
d3_vii,Accountability to affected people (AAP),Info means - facebook (messenger),Preferred means of information - Facebook (messenger),of households reporting facebook messenger <br> as preferred means of information ,1,1,1
d3_viii,Accountability to affected people (AAP),Info means - whatsapp,Preferred means of information - Whatsapp,of households reporting whatsapp <br> as preferred means of information ,1,1,1
d3_ix,Accountability to affected people (AAP),Info means - viber,Preferred means of information - Viber,of households reporting viber <br> as preferred means of information ,1,1,1
d3_x,Accountability to affected people (AAP),Info means - other social media,"Preferred means of information - Other social networks (Skype, instagram, twitter)",of households reporting other social <br>networks as preferred means of information ,1,1,1
d3_xi,Accountability to affected people (AAP),Info means - posters,Preferred means of information - Notice boards and posters,of households reporting notice boards <br> as preferred means of information ,1,1,1
d3_xii,Accountability to affected people (AAP),Info means - newspapers,Preferred means of information - Newspapers and magazines,of households reporting newspapers <br>and magazines as preferred means of <br>information ,1,1,1
d3_xiii,Accountability to affected people (AAP),Info means - leaflets,Preferred means of information - Printed leaflet,of households reporting printed leaflets <br> as preferred means of information ,1,1,1
d3_xiv,Accountability to affected people (AAP),Info means - loudspeaker ,Preferred means of information - Loud speakers,of households reporting loud speakers <br> as preferred means of information ,1,1,1
d3_xv,Accountability to affected people (AAP),Info means - radio,Preferred means of information - Radio,of households reporting radio <br> as preferred means of information ,1,1,1
d4,Accountability to affected people (AAP),Received aid,% households reporting to have received aid in the past 30 days,of households reporting to have <br>received <b>cash</b> aid in the past 30 days,1,1,1
d5_i,Accountability to affected people (AAP),Received aid - cash,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Cash,of households reporting to have <br>received <b>cash</b> aid in the past 30 days,1,1,1
d5_ii,Accountability to affected people (AAP),Received aid - food,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Food,of households reporting to have <br>received <b>food</b> aid in the past 30 days,1,1,1
d5_iii,Accountability to affected people (AAP),Received aid - water,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Water,of households reporting to have <br>received <b>water</b> aid in the past 30 days,1,1,1
d5_iv,Accountability to affected people (AAP),Received aid - fuel,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Fuel,of households reporting to have <br>received <b>fuel</b> aid in the past 30 days,1,1,1
d5_v,Accountability to affected people (AAP),Received aid - shelter,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Shelter,of households reporting to have <br>received <b>shelter</b> aid in the past 30 days,1,1,1
d5_vi,Accountability to affected people (AAP),Received aid - seasonal items,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Seasonal items,of households reporting to have <br>received <b>seasonal items</b> aid in the past 30 days,1,1,1
d5_vii,Accountability to affected people (AAP),Received aid - health services,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Health services,of households reporting to have <br>received <b>health services</b> aid in the past 30 days,1,1,1
d5_viii,Accountability to affected people (AAP),Received aid - other NFIs,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Other non-food items,of households reporting to have <br>received <b>other NFIs</b> aid in the past 30 days,1,1,1
d5_ix,Accountability to affected people (AAP),Received aid - education services,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Education Services,of households reporting to have <br>received <b>education services</b> aid in the past 30 days,1,1,1
d5_x,Accountability to affected people (AAP),Received aid - protection services,% households reporting to have received [type of aid] (as a percentage of households that reported having received aid in the past 30 days) - Protection services (legal assistance; psycho-social support; GBV services; child protection services; explosive hazard risk education),of households reporting to have <br>received <b>protection services</b> aid in the past 30 days,1,1,1
d6,Accountability to affected people (AAP),Satisfied with aid,% households satsified with aid received (as a percentage of households that reported having received aid in the past 30 days),of households reporting<br> satisfaction with aid received,1,1,1
d7,Accountability to affected people (AAP),Not satisfied - quantity of aid, % households not satsified with quantity (as a percentage of households that reported having received aid in the past 30 days),of households reporting dissatisfaction <br>with quantity of aid,1,1,1
d10,Accountability to affected people (AAP),Not satisfied - aid workers,% households not satisified with aid worker behavior (as a percentage of households that reported having received aid in the past 30 days),of households reporting dissatisfaction <br>with aid worker behavior,1,1,1
d12,Accountability to affected people (AAP),Access/knowledge of complaint mechanisms,% households with access/knowledge of complaint mechanisms (as a percentage of households that reported having received aid in the past 30 days),of households reporting access/knowledge<br> of complaint mechanisms,1,1,1
d15,Accountability to affected people (AAP),COVID-19 prevention measures info need,% of households reporting needing more information about COVID-19 prevention measures,of households reporting needing more<br> information about COVID-19 prevention<br> measures,1,1,1
a22,Intentions,Return to area of origin (past 12 months),% households that attempted return to their area of origin in the past 12 months,% households attempted return<br> to their area of origin in the past<br> 12 months,0,1,1
a24,Intentions,Intending to remain - next three months,% of IDP households that intend to remain in their current location for the next three months,% of IDP households intend to remain<br> in their current location for the <br>next three months,0,1,1
a25,Intentions,Intending to remain - next twelve months,% of IDP households that intend to remain in their current location for the next twelve months,% of IDP households that intend to remain in their current location for the next twelve months,0,1,1
a29,Intentions,Intending to integrate,% of IDP households that intend to integrate into the local community of their current district in the long-term,% of IDP households intend to integrate <br>into the local community of their current <br>district in the long-term,0,1,1
a26_i,Intentions,Intend to return - Security situation is stable,% of IDP households that currently intends to return to their area of origin due to security situation in area of origin is stable,% of IDP households intending to return<br> to their area of origin due to <br> stable security situation,0,1,1
a26_ii,Intentions,Intend to return - cleared of explosive hazards,% of IDP households that currently intends to return to their area of origin due to - area of origin was cleared of explosive hazards,% of IDP households intending to return<br> to their area of origin due to <br> cleared explosive hazards,0,1,1
a26_iii,Intentions,Intend to return - others have returned,% of IDP households that currently intends to return to their area of origin due to - other family / community members have returned,% of IDP households intending to return<br> to their area of origin due to <br> others returning,0,1,1
a26_iv,Intentions,Intend to return - livelihood options available,% of IDP households that currently intends to return to their area of origin due to - livelihood options are available there,% of IDP households intending to return<br> to their area of origin due to <br> livelihood options available,0,1,1
a26_xv,Intentions,Intend to return - lack of safety for women/girls in current location,% of IDP households that currently intends to return to their area of origin due to - lack of safety and security for women and girls,% of IDP households intending to return<br> to their area of origin due to <br> lack of safety for women/girls in current location,0,1,1
a26_v,Intentions,Intend to return -  basic services available,"% of IDP households that currently intends to return to their area of origin due to - basic services (water, electricity, health, education, etc.) are available in the area of origin",% of IDP households intending to return<br> to their area of origin due to <br> availability of basic services,0,1,1
a26_vi,Intentions,Intend to return - emotional desire to return,% of IDP households that currently intends to return to their area of origin due to - emotional desire to return,% of IDP households intending to return<br> to their area of origin due to <br> emotional desire to return,0,1,1
a26_vii,Intentions,Intend to return - secure land/housing,"% of IDP households that currently intends to return to their area of origin due to - necessary to secure personal housing, land and property",% of IDP households intending to return<br> to their area of origin to <br> secure land/housing,0,1,1
a26_viii,Intentions,Intend to return - secure civil documentation,% of IDP households that currently intends to return to their area of origin due to - necessary to secure civil documentation,% of IDP households intending to return<br> to their area of origin to <br> secure civil documentation,0,1,1
a26_ix,Intentions,Intend to return - limited livelihoods in current location,% of IDP households that currently intends to return to their area of origin due to - limited livelihood opportunities in area of displacement,% of IDP households intending to return<br> to their area of origin due to <br> limited livelihoods in current location,0,1,1
a26_x,Intentions,Intend to return - limited services in current location,% of IDP households that currently intends to return to their area of origin due to - limited services in area of displacement,% of IDP households intending to return<br> to their area of origin due to <br> limited services in current location,0,1,1
a26_xi,Intentions,Intend to return - do not feel safe in current location,% of IDP households that currently intends to return to their area of origin due to - do not feel safe in area of displacement,% of IDP households intending to return<br> to their area of origin due to <br> do not feel safe in current location,0,1,1
a26_xii,Intentions,Intend to return - do not feel integrated in current location,% of IDP households that currently intends to return to their area of origin due to - do not feel integrated in the area of displacement,% of IDP households intending to return<br> to their area of origin due to <br> do not feel integrated in current location,0,1,1
a26_xiii,Intentions,Intend to return - facing eviction in current location,% of IDP households that currently intends to return to their area of origin due to - facing eviction in the area of displacement,% of IDP households intending to return<br> to their area of origin due to <br> facing eviction in current location,0,1,1
a26_xiv,Intentions,Intend to return - forced to return,% of IDP households that currently intends to return to their area of origin due to - forced to return by security actors or civilian authoritis,% of IDP households intending to return<br> to their area of origin due to <br> forced return,0,1,1
a15_i,Intentions,No intention to return - security concerns: fear/trauma,% of IDP households that currently do not intend to return to their area of origin due to -  security concerns: Fear/trauma associated with returning to place of origin,% of IDP households currently do not intend <br>to return to their area of origin due to <br>security concerns: fear/trauma,0,1,1
a15_ii,Intentions,No intention to return - lack of security forces,% of IDP households that currently do not intend to return to their area of origin due to - security concerns: Lack of security forces,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of security forces,0,1,1
a15_iii,Intentions,No intention to return - presence of explosive hazards,"% of IDP households that currently do not intend to return to their area of origin due to - security concerns: Presence of explosive hazards (mines, bombs, IEDs)",% of IDP households currently do not intend <br>to return to their area of origin due to <br>presence of explosive hazards,0,1,1
a15_iv,Intentions,No intention to return - discrimination,% of IDP households that currently do not intend to return to their area of origin due to - security concerns: Fear of discrimination,% of IDP households currently do not intend <br>to return to their area of origin due to <br>discrimination,0,1,1
a15_v,Intentions,No intention to return - lack of security for women / girls,% of IDP households that currently do not intend to return to their area of origin due to - lack of safety and security for women and girls,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of security for women / girls,0,1,1
a15_xiv,Intentions,No intention to return - civil registries,% of IDP households that currently do not intend to return to their area of origin due to - non-restoration of courts and/or civil registries in area of origin,% of IDP households currently do not intend <br>to return to their area of origin due to <br>civil registries,0,1,1
a15_vi,Intentions,No intention to return - movement restrictions,% of IDP households that currently do not intend to return to their area of origin due to - movement restrictions (do not have proper paperwork to relocate),% of IDP households currently do not intend <br>to return to their area of origin due to <br>movement restrictions,0,1,1
a15_vii,Intentions,No intention to return - no documents,% of IDP households that currently do not intend to return to their area of origin due to - no personal identification documents,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of documents,0,1,1
a15_viii,Intentions,No intention to return - no transportation,% of IDP households that currently do not intend to return to their area of origin due to - no transportation available to return home,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of transportation,0,1,1
a15_ix,Intentions,No intention to return - no financial means,% of IDP households that currently do not intend to return to their area of origin due to - no financial means to return and restart,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of financial means,0,1,1
a15_x,Intentions,No intention to return - lack of livelihood,% of IDP households that currently do not intend to return to their area of origin due to - lack of livelihood/income generating activities in area of origin,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of livelihood,0,1,1
a15_xiii,Intentions,No intention to return - house damaged,% of IDP households that currently do not intend to return to their area of origin due to - house I own in area of origin has been damaged/destroyed,% of IDP households currently do not intend <br>to return to their area of origin due to <br>house damaged,0,1,1
a15_xii,Intentions,No intention to return - occupied land,% of IDP households that currently do not intend to return to their area of origin due to - house/land I own in area of origin is currently occupied,% of IDP households currently do not intend <br>to return to their area of origin due to <br>occupation of land,0,1,1
a15_xi,Intentions,No intention to return - assets damaged/stolen,% of IDP households that currently do not intend to return to their area of origin due to - household assets in area of origin have been damaged/stolen,% of IDP households currently do not intend <br>to return to their area of origin due to <br>damaged or stolen assets,0,1,1
a15_xv,Intentions,No intention to return - markets not functioning,% of IDP households that currently do not intend to return to their area of origin due to - local markets are not functioning,% of IDP households currently do not intend <br>to return to their area of origin due to <br>markets not functioning,0,1,1
a15_xvi,Intentions,No intention to return - lack of basic services,"% of IDP households that currently do not intend to return to their area of origin due to - basic services in the area of origin are not enough/available (electricity, water, health)",% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of basic services,0,1,1
a15_xvii,Intentions,No intention to return - lack of education,% of IDP households that currently do not intend to return to their area of origin due to - lack of education opportunities for children in the area of origin,% of IDP households currently do not intend <br>to return to their area of origin due to <br>lack of education,0,1,1
a15_xviii,Intentions,No intention to return - family not returning,% of IDP households that currently do not intend to return to their area of origin due to - immediate family and network will not return,% of IDP households currently do not intend <br>to return to their area of origin due to <br>family not returning,0,1,1
a15_xix,Intentions,No intention to return - health condition,% of IDP households that currently do not intend to return to their area of origin due to - health condition does not allow me to leave the area of displacement,% of IDP households currently do not intend <br>to return to their area of origin due to <br>health condition,0,1,1
a15_xx,Intentions,No intention to return - children enrolled in school in current location,% of IDP households that currently do not intend to return to their area of origin due to - children enrolled at school in the area of displacement,% of IDP households currently do not intend <br>to return to their area of origin due to <br>children enrolled in school in current location,0,1,1
a15_xxi,Intentions,No intention to return - better living conditions,% of IDP households that currently do not intend to return to their area of origin due to - living conditions are better in the area of displacement,% of IDP households currently do not intend <br>to return to their area of origin due to <br>better living conditions ,0,1,1
a15_xxii,Intentions,No intention to return - other,% of IDP households that currently do not intend to return to their area of origin due to - other,% of IDP households currently do not intend <br>to return to their area of origin due to <br>other,0,1,1
a15_xxiii,Intentions,No intention to return - do not know,% of IDP households that currently do not intend to return to their area of origin due to - do not know,% of IDP households currently do not intend <br>to return to their area of origin due to <br>unknown,0,1,1
a15_xxiv,Intentions,No intention to return - decline to answer,% of IDP households that currently do not intend to return to their area of origin due to - decline to answer,% of IDP households currently do not intend <br>to return to their area of origin due to <br>decline to answer,0,1,1
g67,Intentions,No intention to return - HLP issues,"% of IDP households not intending to return due to HLP issues (damage/destruction, secondary occupation or unresolved HLP ownership issues)",% of IDP households not intending<br> to return due to HLP issues,0,1,1
g73,Intentions,No intention to return - explosive ordnance contamination,% of IDP households not intending to return to their area of origin due to explosive ordnance contamination,% of IDP households not intending to return<br> to their area of origin due to explosive<br> ordnance contamination,0,1,1
